"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Nov 27 08:23:58 GMT 2024","Wed Nov 27 08:24:52 GMT 2024","53422","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Nov 27 08:22:54 GMT 2024","Wed Nov 27 08:23:46 GMT 2024","52377","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Nov 27 08:25:09 GMT 2024","Wed Nov 27 08:25:20 GMT 2024","11048","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build configuration name",""
"passed","Wed Nov 27 08:24:52 GMT 2024","Wed Nov 27 08:25:08 GMT 2024","16190","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithBuildTypeName","User should  be able to create build configuration with build configuration name",""
