"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 18:26:04 GMT 2024","Sun Nov 24 18:26:04 GMT 2024","472","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"failed","Sun Nov 24 18:25:55 GMT 2024","Sun Nov 24 18:26:02 GMT 2024","7035","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for another user project",""
"passed","Sun Nov 24 18:26:04 GMT 2024","Sun Nov 24 18:26:05 GMT 2024","454","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build type with the same id",""
"passed","Sun Nov 24 18:24:53 GMT 2024","Sun Nov 24 18:25:44 GMT 2024","50714","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 18:26:03 GMT 2024","Sun Nov 24 18:26:04 GMT 2024","572","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
