"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 27 08:24:11 GMT 2024","Wed Nov 27 08:24:11 GMT 2024","456","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build type with the same id",""
"passed","Wed Nov 27 08:24:09 GMT 2024","Wed Nov 27 08:24:10 GMT 2024","511","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed Nov 27 08:22:56 GMT 2024","Wed Nov 27 08:23:49 GMT 2024","53178","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Nov 27 08:24:02 GMT 2024","Wed Nov 27 08:24:08 GMT 2024","6880","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for another user project",""
"passed","Wed Nov 27 08:24:10 GMT 2024","Wed Nov 27 08:24:10 GMT 2024","538","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
