"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 21:39:45 GMT 2024","Sun Nov 24 21:39:46 GMT 2024","518","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Nov 24 21:39:37 GMT 2024","Sun Nov 24 21:39:44 GMT 2024","6697","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for another user project",""
"passed","Sun Nov 24 21:38:32 GMT 2024","Sun Nov 24 21:39:25 GMT 2024","52954","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 21:39:45 GMT 2024","Sun Nov 24 21:39:45 GMT 2024","452","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Nov 24 21:39:46 GMT 2024","Sun Nov 24 21:39:47 GMT 2024","558","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build type with the same id",""
