"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 21:38:40 GMT 2024","Sun Nov 24 21:39:30 GMT 2024","50151","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 21:39:43 GMT 2024","Sun Nov 24 21:40:35 GMT 2024","52259","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 21:40:49 GMT 2024","Sun Nov 24 21:40:59 GMT 2024","9843","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build configuration name",""
"passed","Sun Nov 24 21:40:35 GMT 2024","Sun Nov 24 21:40:49 GMT 2024","13794","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithBuildTypeName","User should  be able to create build configuration with build configuration name",""
