"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 19:40:13 GMT 2024","Sun Nov 24 19:40:13 GMT 2024","462","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Nov 24 19:39:02 GMT 2024","Sun Nov 24 19:39:52 GMT 2024","50028","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 19:40:12 GMT 2024","Sun Nov 24 19:40:12 GMT 2024","502","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Nov 24 19:40:04 GMT 2024","Sun Nov 24 19:40:11 GMT 2024","6736","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for another user project",""
"passed","Sun Nov 24 19:40:13 GMT 2024","Sun Nov 24 19:40:14 GMT 2024","422","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build type with the same id",""
