"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 24 18:16:33 GMT 2024","Sun Nov 24 18:16:33 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build configuration name",""
"passed","Sun Nov 24 18:14:19 GMT 2024","Sun Nov 24 18:15:12 GMT 2024","53285","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 18:16:17 GMT 2024","Sun Nov 24 18:16:32 GMT 2024","14618","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithBuildTypeName","User should  be able to create build configuration with build configuration name",""
"failed","Sun Nov 24 18:15:24 GMT 2024","Sun Nov 24 18:16:17 GMT 2024","52906","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
