"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 19:38:53 GMT 2024","Sun Nov 24 19:39:46 GMT 2024","53323","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 19:41:05 GMT 2024","Sun Nov 24 19:41:15 GMT 2024","10489","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build configuration name",""
"passed","Sun Nov 24 19:40:50 GMT 2024","Sun Nov 24 19:41:05 GMT 2024","14978","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithBuildTypeName","User should  be able to create build configuration with build configuration name",""
"failed","Sun Nov 24 19:39:59 GMT 2024","Sun Nov 24 19:40:49 GMT 2024","50588","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
