"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 17:58:36 GMT 2024","Sun Nov 24 17:59:25 GMT 2024","48823","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 17:59:45 GMT 2024","Sun Nov 24 17:59:45 GMT 2024","532","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Nov 24 17:59:46 GMT 2024","Sun Nov 24 17:59:47 GMT 2024","529","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build type with the same id",""
"passed","Sun Nov 24 17:59:46 GMT 2024","Sun Nov 24 17:59:46 GMT 2024","414","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"failed","Sun Nov 24 17:59:37 GMT 2024","Sun Nov 24 17:59:44 GMT 2024","7071","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectsAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for another user project",""
