"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 17:59:22 GMT 2024","Sun Nov 24 18:00:20 GMT 2024","58171","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 18:00:33 GMT 2024","Sun Nov 24 18:01:29 GMT 2024","56107","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Sun Nov 24 18:01:45 GMT 2024","Sun Nov 24 18:01:45 GMT 2024","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutBuildTypeName","User should not be able to create build configuration without build configuration name",""
"passed","Sun Nov 24 18:01:29 GMT 2024","Sun Nov 24 18:01:45 GMT 2024","15085","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithBuildTypeName","User should  be able to create build configuration with build configuration name",""
